Id2,ledgerstyle,County,median_age_latest,median_age_moe_latest,median_age_moe_per_latest,median_age_prev,median_age_moe_prev,median_age_moe_per_prev,nj_median_age_latest,nj_median_age_prev,usa_median_age_latest,usa_median_age_prev,median_age_change,nj_median_age_change,usa_median_age_change
3400102080,Atlantic City,Atlantic,35.9,1.6,4.46,37.1,1.6,4.46,37.6,38.3,37.6,36.5,-1.2,-0.7,1.1
3400107810,Brigantine,Atlantic,50.9,2.7,5.3,48.8,2.7,5.3,37.6,38.3,37.6,36.5,2.1,-0.7,1.1
3400108680,Buena,Atlantic,42.3,2.6,6.15,36.9,2.6,6.15,37.6,38.3,37.6,36.5,5.4,-0.7,1.1
3400108710,Buena Vista,Atlantic,43.1,2.4,5.57,42.6,2.4,5.57,37.6,38.3,37.6,36.5,0.5,-0.7,1.1
3400115160,Corbin City,Atlantic,42.4,1.8,4.25,45.1,1.8,4.25,37.6,38.3,37.6,36.5,-2.7,-0.7,1.1
3400120290,Egg Harbor Township,Atlantic,40.3,1,2.48,38.7,1,2.48,37.6,38.3,37.6,36.5,1.6,-0.7,1.1
3400120350,Egg Harbor City,Atlantic,34.2,2.8,8.19,41.6,2.8,8.19,37.6,38.3,37.6,36.5,-7.4,-0.7,1.1
3400121870,Estell Manor,Atlantic,45.2,3.3,7.3,40.2,3.3,7.3,37.6,38.3,37.6,36.5,5,-0.7,1.1
3400123940,Folsom,Atlantic,42.7,1.9,4.45,40.2,1.9,4.45,37.6,38.3,37.6,36.5,2.5,-0.7,1.1
3400125560,Galloway,Atlantic,36.2,2.1,5.8,29.3,2.1,5.8,37.6,38.3,37.6,36.5,6.9,-0.7,1.1
3400129280,Hamilton,Atlantic,38.5,1.8,4.68,36,1.8,4.68,37.6,38.3,37.6,36.5,2.5,-0.7,1.1
3400129430,Hammonton,Atlantic,42.1,2,4.75,40.6,2,4.75,37.6,38.3,37.6,36.5,1.5,-0.7,1.1
3400140530,Linwood,Atlantic,46.3,1.8,3.89,41.1,1.8,3.89,37.6,38.3,37.6,36.5,5.2,-0.7,1.1
3400141370,Longport,Atlantic,62.8,2.8,4.46,58.8,2.8,4.46,37.6,38.3,37.6,36.5,4,-0.7,1.1
3400143890,Margate City,Atlantic,59.1,1.9,3.21,53.6,1.9,3.21,37.6,38.3,37.6,36.5,5.5,-0.7,1.1
3400149410,Mullica,Atlantic,43.4,2.1,4.84,34.9,2.1,4.84,37.6,38.3,37.6,36.5,8.5,-0.7,1.1
3400152950,Northfield,Atlantic,41.6,2.2,5.29,40.8,2.2,5.29,37.6,38.3,37.6,36.5,0.8,-0.7,1.1
3400159640,Pleasantville,Atlantic,35.2,1.8,5.11,37.1,1.8,5.11,37.6,38.3,37.6,36.5,-1.9,-0.7,1.1
3400160600,Port Republic City,Atlantic,47.6,6.4,13.45,45.3,6.4,13.45,37.6,38.3,37.6,36.5,2.3,-0.7,1.1
3400168430,Somers Point,Atlantic,38.1,3.6,9.45,41.5,3.6,9.45,37.6,38.3,37.6,36.5,-3.4,-0.7,1.1
3400175620,Ventnor City,Atlantic,44.9,4,8.91,42.2,4,8.91,37.6,38.3,37.6,36.5,2.7,-0.7,1.1
3400180330,Weymouth Township,Atlantic,52.8,2.3,4.36,46.1,2.3,4.36,37.6,38.3,37.6,36.5,6.7,-0.7,1.1
3400300700,Allendale,Bergen,44.2,2.3,5.2,44.1,2.3,5.2,37.6,38.3,37.6,36.5,0.1,-0.7,1.1
3400301090,Alpine,Bergen,54.1,6.7,12.38,49.1,6.7,12.38,37.6,38.3,37.6,36.5,5,-0.7,1.1
3400305170,Bergenfield,Bergen,39.5,1.5,3.8,38.5,1.5,3.8,37.6,38.3,37.6,36.5,1,-0.7,1.1
3400306490,Bogota,Bergen,38.5,2,5.19,39,2,5.19,37.6,38.3,37.6,36.5,-0.5,-0.7,1.1
